,has_issues,stargazers_count,forks,size,has_downloads,archived,has_projects,has_wiki,open_issues_count,has_pages
892,1,16276,-0.36090272956726455,-0.3134488983157124,1,0,0,0,0.04720003285802643,1
137,1,43257,1.0753190278608462,0.32626598525948,1,0,1,0,0.9954212592756069,0
142,1,42174,0.2553023979507936,0.034076859488061335,1,0,1,1,-0.42081420253502266,1
14,1,125568,1.2393753607355464,-0.3101545126241492,1,0,0,0,-0.38892545703729986,0
430,1,24115,0.2921421883701528,-0.16971469092953173,1,0,0,0,-0.41331096830026437,0
779,0,17605,-0.3505663854927681,3.1407118382335653,1,0,0,1,-0.4264416282110914,0
177,1,38127,-0.27211618431197443,0.02031920680196969,1,0,1,1,0.35108101936573766,0
930,1,15882,-0.19591877607049413,-0.3154260619415859,1,0,1,1,-0.4264416282110914,0
264,1,30937,-0.30617311286512305,-0.31882156771091913,1,0,1,1,-0.41518677685895394,0
736,1,18187,-0.6924608433414972,-0.247486674953461,1,0,1,1,-0.3542229987015427,0
859,1,16643,-0.5721351969358204,-0.3127756514821377,1,0,1,1,-0.40018030838943736,0
629,0,20021,-0.5111772703426362,-0.3190637236866318,1,0,1,1,-0.41331096830026437,0
463,1,23269,-0.7086279456118634,-0.11792790583784327,1,0,0,1,-0.20790993112375583,1
4,1,171438,5.452495708946648,-0.284211890566759,1,0,0,0,-0.38423593564057595,0
556,1,21046,-0.3711065564100367,-0.24321568219501283,1,0,1,1,0.05939278848950867,0
694,1,18831,0.0130608983587484,-0.3160514097909537,1,0,1,1,-0.30076245477888985,0
110,1,48466,0.9316703486716902,1.00574500889043,1,0,1,1,8.014696885891999,0
45,1,71184,2.890937619715667,2.2783944087208607,0,0,0,1,-0.03627344800365968,1
251,1,31386,0.11231630492025928,0.01268996303968251,0,0,1,1,-0.13193968449682802,1
389,1,25073,-0.5245615107467918,-0.006371171619983725,1,0,1,1,-0.3823601270818864,1
268,1,30681,0.24483353664457286,-0.17722684828597984,1,0,1,1,6.7926076099057395,0
903,1,16199,-0.5093220290984958,-0.30543380162509187,1,0,1,1,-0.4029940212274717,0
993,1,15307,-0.6548259495317921,-0.2689613862062191,1,0,1,0,-0.22948172954868595,0
573,1,20762,-0.418547725367341,-0.29816912235371273,1,0,1,0,-0.42362791537305705,1
915,1,16092,-0.5625939562516699,-0.27716541777898906,1,0,1,1,-0.3936149784340238,0
270,1,30621,-0.27807945973956855,-0.31101137223051706,1,0,1,1,-0.41987629825567785,1
835,1,16869,-0.6075172978062121,1.1654615106736448,1,0,1,1,0.28542771981160253,0
15,1,121238,1.4995066866103741,0.08943744101251985,1,0,1,1,8.040958205713654,0
776,1,17638,-0.5747855415703067,-0.30632525494227575,1,0,1,1,-0.2960729333821659,0
213,1,33872,2.4919282349937584,1.507933925643591,1,0,1,0,3.2154406884847195,0
653,1,19688,-0.4555200330184245,-0.28436090962873606,1,0,0,0,-0.36829156289171455,0
924,1,15969,0.1934168507355392,-0.20936972774348486,1,0,1,1,-0.366415754333025,0
437,1,23837,-0.32194266344031636,-0.013151538939937594,0,0,1,1,0.6090046961855543,0
790,1,17438,-0.282054976691298,-0.23402439933664523,1,0,0,0,0.3632737749972199,1
465,1,23206,-0.4062236228169798,-0.31864327704748235,1,0,1,1,-0.242612389459513,0
306,1,28387,-0.0162254098523249,-0.3092524150882527,1,0,1,1,-0.4161246811382987,0
671,1,19418,-0.39588727874248336,-0.3166474860388617,1,0,0,1,-0.4245658196524018,0
798,1,17342,-0.45909799827498093,-0.17206706326502594,1,0,1,1,-0.3326512002766126,0
322,1,27573,-0.5933379540117106,-0.26851965112964443,1,0,0,0,-0.4058077340655061,0
676,1,19246,-0.6617168455814564,-0.2691343547602996,1,0,1,0,-0.3936149784340238,0
